"Property","en","pt-br","pt","pl","nl","lt","ja","it","id","hr","hi","gl","fr","fi","es-es","el","de-de","cs","ca","bg","sk","sh","ru","sr","sr-cs","ro","uk","tr","zh-tw","zh-cn"
"dgs_table_seller","Seller",,,"Sprzedający","Verkoper",,,,,,,,"Vendeur",,,,"Verkäufer",,,,,,,,,,,,,
"difficulty","Difficulty","Dificuldade","Dificuldade","Trudność","Moeilijkheidsgraad","Sudėtingumas","難易度","Difficoltà","Kesulitan","Težina","कठिनाई","Dificultade","Difficulté","Vaikeustaso","Dificultad","Δυσκολία","Schwierigkeit","Obtížnost","Dificultat","Трудност","Obtiažnosť","Težina","Сложность","Тежина","Težina","Dificultate","Складність","Zorluk derecesi","難度","难度"
"discount","Discount","Desconto","Desconto","Zniżka","Korting","Nuolaida","ディスカウント","Sconto","Diskon","Popust","डिस्काउंट","Desconto","Promotion","Alennus","Descuento","Έκπτωση","Rabatt","Sleva","Descompte","Отстъпка","Zľava","Popust","Скидка","Попуст","Popust","Reducere","Знижка","İndirim","折扣","折扣"
"distributing_asset","Distributing asset","Distribuindo ativo",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"distributing_quantity","Distributing quantity","Distribuindo quantidade",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"downloaded","Downloaded","Baixado","Descarregado","Pobrany","Gedownload","Atsisiųsta","ダウンロード済み","Scaricato","Diunduh","Preuzeto","डाउनलोड हो चुकी","Descarregado","Téléchargé","Ladattu","Descargado","Κατεβασμένο","Heruntergeladen"," Staženo","Descarregat","Изтеглено","Stiahnuté","Preuzeto","Загружено","Преузето","Preuzeto","Descărcat","Завантажено","İndirilenler","已下載","已下载"
"downloaded_hash","Downloaded Hash","Hash Baixado","Hash Descarregado","Pobrany hash","Gedownloade Hash","Atsisiųstas 'hash","ダウンロードされたハッシュ","Hash scaricato","Hash yang telah diunduh","Preuzeti hash","डाउनलोड किआ गआ हैश","Hash descarregado","Hachage téléchargé","Ladattu tarkiste","Hash Descargado","φορτωμένα Hash","Heruntergeladener Hash","Stažený Hash","Hash Descarregat","Изтеглени хеш","Stiahnutý Hash","Preuzeti hash","Загруженный хэш","Преузет Hash","Preuzet Hash","Hash Descarcat","Звантаженій хеш","İndirilen Hash","已下載的哈希","已下载的哈希"
"downloaded_volume","Downloaded Volume","Volume Baixado","Volume Descarregado","Pobrany wolumen","Gedownload Volume","Atsisiųstų duomenų apimtis","ダウンロード量","Volume scaricato","Volume yang telah diunduh","Preuzeta količina","डाउनलोड की गई मात्रा","Volume descarregado","Volume de données téléchargé","Ladattu määrä","Volumen Descargado","Φορτομένος όγκος","Heruntergeladenes Datenvolumen","Stažená data","Volum Descarregat","Изтеглен обем","Stiahnutý objem","Preuzeta količina","Загруженный Объем","Преузета Kоличина","Preuzeta Količina","Volumul Descărcat","Завантажений Об'єм","İndirilen Hacim","下載量","下载量"
"downloading_blockchain","Downloading Blockchain","Baixando a Corrente de Blocos","A Descarregar a Corrente de Blocos","Pobieram blockchain","Blockchain aan het downloaden","Atsisiunčiami blokai","ブロックチェーンをダウンロード中","Download Blockchain","Mengunduh Blockchain","Preuzimanje blockchaina","Blockchain डाउनलोड हो रही है","Descarregando a cadea de bloques","Téléchargement de la blockchain en cours","Ladataan lohkoketjua","Descargando Cadena de Bloques","λήψη Blockchain","Blockchain wird heruntergeladen","Stahuji blockchain","Descarregant Blockchain","Изтегляне на блокверигата","Blockchain sa sťahuje","Preuzimanje blockchaina","Загрузка блокчейн","Блоцкцхаин се Преузима","Blockchain se Preuzima","Descărcare Blockchain","Завантаження Blockchain","İndirilen Blockchain","正在下載 Blockchain","正在下载Blockchain"
"download_brs","Download BRS",,"Descarregar BRS","Pobierz BRS","BRS downloaden","Parsisiųsti BRS","BRSをダウンロード","Scarica BRS","Unduh BRS","Preuzmite BRS",,"Descarregar BRS","Télécharger le client BRS","Lataa BRS","Descargar BRS",,"BRS herunterladen",,,,"Stiahnuť BRS",,"Скачать BRS","Преузмите BRS","Preuzmite BRS",,"Завантажити BRS",,"下载 BRS","下载 BRS"
"do_not_broadcast","Do Not Broadcast","Não Transmitir","Não transmitir","Nie broadcastuj","Uitzending uitzetten","Netransliuoti","ブロードキャストしない","Non trasmettere","Jangan Menyiarkan","Ne emitiraj","प्रसारण नहीं है","Non transmitir","Ne pas diffuser","Älä lähetä","No Transmitir","Να μη μεταδοθούν","Nicht veröffentlichen","Nevysílat","No Difondre","Не излъчвай","Nevysielaj","Ne emitiraj","Не транслировать","Не Емитуј","Ne Emituj","Nu Transmite","Не транслювати","Yayınlama","不要廣播","不要广播"
"do_not_delete","No, Do Not Delete","Não, Não Apagar","Não, Não Apagar","Nie, nie usuwaj","Nee, niet verwijderen","Ne, nenaikinti","いいえ、削除しないでください。","No, non eliminare","Tidak, tidak menghapus","Nemoj brisati","नहीं, मत हटाएँ","Non, non borrar","Ne pas supprimer","Ei, älä poista","No, No Borrar","Όχι, να μή διαγράφει","Nein, nicht löschen","Ne, nemazat","No, No Eliminar","Не, не изтривай","Nie, neodstraňovať","Nemoj brisati","Нет, не удалять","Не, Немојте да Обришете","Ne, Nemojte da Obrišete","Nu, nu ştergeţi","Ні, не видаляти","Hayır, silme","不，不要刪除","不，不要删除"
"drop_update","Drop client update (zip file) here when downloaded or click to select.","Arraste a atualização do cliente (o arquivo zip) aqui ou clique para selecionar.","Arraste a atualização do cliente (o arquivo zip) aqui ou clique para escolher.","Dodaj plik zip programu tutaj lub wybierz klikając.","Plaats de client update (zip-bestand) hier wanneer het gedownload is of klik om te selecteren.","Užveskite kliento atnaujinimo failą (zip failas) čia, kai atsisiųsite arba spustelėkite, kad pažymėtumėte.","クライアントのアップデート（zipファイル）をダウンロードしたら、ここにドロップするか、クリックして選択してください。","Quando scaricato, trascina qui l'aggiornamento del client (file zip) o clicca per selezionare.","Drop update klien (file zip) di sini ketika telah diunduh atau klik untuk memilih.","Nakon preuzimanje spustite ažurirani klijent (zip datoteku) ovdje ili kliknite za odabir.","जब क्लाइंट अपडेट (zip फाइल) डाउनलोड हो जाये तो उसे यहां छोड़ें यां चयन करने के लिए क्लिक करें।","Arrastre a actualización do cliente (o arquivo zip) aquí ou faga clic para seleccionar.","Glissez le client à jour (fichier zip) ici lors du téléchargement ou cliquez pour sélectionner.","Tiputa ohjelman päivitystiedosto (zip) tähän kun se on ladattu, tai klikkaa valitaksesi se.","Arrastre la actualización del cliente (el archivo zip) aquí o haga clic para seleccionar.",,"Ziehen Sie die Client-Aktualisierung (Zip-Datei) nach dem Download hierher oder klicken Sie hier, um auszuwählen.",,"Arrossegui la actualització del client (el arxiu zip) aquí o cliqui per seleccionar.","Прехвърлете тук обновяването на клиента (zip файл), когато изтеглянето приключи, или щракнете за избор.","Po stiahnutí presuňte aktualizáciu klienta (zip súbor) sem, alebo kliknutím vyberte.","Nakon preuzimanje spustite ažurirani klijent (zip datoteku) ovdje ili kliknite za odabir.","Перетащите сюда скачанный клиент (zip файл) или нажмите для выбора.","Спустите ажурирани клијент (зип фајл) овде када се заврши преузимање или кликните овде да бисте изабрали.","Spustite ažurirani klijent (zip fajl) ovde kada se završi preuzimanje ili kliknite ovde da biste izabrali.","Glisează actualizarea clientului (fişier zip) aici când este descărcat sau fă clic pentru a selecta.","Перетягніть сюди викачаний клієнт(zip файл) або натисніть для вибору.",,"下載後在此更新客戶端（zip 文件），或單擊以選擇。","下载后在此更新客户端（zip 文件），或单击以选择。"
"edit","Edit","Editar","Editar","Edytuj","Bewerken","Redaguoti","編集","Modifica","Mengedit","Uredi","संपादित करें","Editar","Editer","Muokkaa","Editar","Επεξεργασία","Bearbeiten","Upravit","Editar","Редактиране","Upraviť","Uredi","Редактировать","Уредите","Uredite","Editare","Редагувати","Düzenle","編輯","编辑"
"effective_balance","Effective Balance","Saldo Efetivo","Saldo Efectivo","Efektywny balans","Effectieve saldo","Efektyvus balansas","有効残高","Saldo effettivo","Keseimbangan yang efektif","Efektivni saldo","प्रभावी शेष","Saldo efectivo","Solde effectif","Efektiivinen saldo","Saldo Efectivo","διαθέσιμο ποσό","Effektives Guthaben","Efektivní zůstatek","Saldo Efectiu","Ефективно салдо","Efektívny zostatok","Efektivni saldo","Эффективный баланс","Ефективни Салдо","Efektivni Saldo","Sold Efectiv","Ефективний баланс","Effective bakiye","有效餘額","有效余额"
"email_address","Email Address","Endereço de e-mail","Endereço de Correio eletrónico","Adres email","E-mailadres","Elektroninio pašto adresas","メールアドレス","Indirizzo email","Alamat Email","Email adresa","ईमेल पता","Dirección de correo electrónico","Adresse électronique","Sähköpostiosoite","Dirección de Correo electrónico","Διεύθυνση Email","E-Mail-Adresse","Emailová adresa","Adreça de correu electrònic","E-mail адрес","E-mailové adresy","Email adresa","Адрес электронной почты","Е-маил Адреса","E-mail Adresa","Adresă de Email","Адреса електронної пошти","E-posta adresi","電子郵件地址","电子邮件地址"
"empty_aliases","Empty Aliases","Pseudônimos Vazios","Aliases Vazios","Pusty alias","Lege aliassen","Tušti pseudonimai","空のエイリアス","Alias vuoto","Alias kosong","Prazni pseudonimi",,"Alias vacíos","Alias vierges","Tyhjät aliakset","Alias Vacíos","Άδεια ψευδώνυμα","Leere Aliase","Prázdné aliasy","Àlies buïts","Празни псевдоними","Prázdne aliasy","Prazni pseudonimi","Пустой псевдоним","Празни Алиас-и","Prazni Alias-i","Alias-uri Goale","Порожні Аліаси","Boş Rumuz adları","空白的別名","空白的别名"
"enable_news_section","Enable News Section","Habilitar a Seção de Notícias","Habilitar a Seção de Notícias","Pokazuj sekcję wiadomości","Nieuwssectie Inschakelen","Aktyvuoti naujienų skyrių","ニュースセクションを有効にする","Attivare la sezione News","Mengaktifkan Bagian Berita","Omogući sekciju vijesti","समाचार अनुभाग सक्षम करें","Habilitar sección de noticias","Activez la section Actualités","Näytä Uutiset-osio","Habilitar Sección de Noticias","Ενεργοποίηση του τμήματος των ειδήσεων","News-Bereich aktivieren","Povolit sekci Novinky","Permetre la Secció de Notícies","Разреши раздел Новини","Povoliť sekciu Novinky","Omogući sekciju vijesti","Включить раздел новостей","Омогући Секцију Вести","Omogućite Sekciju Vesti","Activare Secţiunea de Știri","Увімкнути розділ новин","Haber bölümünü etkinleştirmek","啟動新聞版塊","启动新闻版块"
"encrypted_feedback_no_permission","Feedback is encrypted and cannot be read by you.","Comentários são é criptografados e não pode ser lidos por você.","Os comentários estão cifrados e não podem ser lidos por você.","Informacja zwrotna jest szyfrowana i nie może być odczytana.","De feedback is gecodeerd en kan niet door u worden gelezen.","Atsiliepimas yra užšifruotas ir negali būti Jūsų perskaitytas.","フィードバックは暗号化されたため、あなたには読み取ることができません。","Il feedback è crittografato e non può essere letto da te.","Umpan balik telah dienkripsi dan tidak dapat dibaca oleh Anda.","Povratna informacija je kodirana i ne možete ju pročitati.",,"O producto está cifrado e non se pode ler.","Vous ne pouvez pas lire ce commentaire parce qu'il est chiffré.","Palaute on salattu etkä pysty lukemaan sitä.","Los comentarios están cifrados, usted no puede leerlos.","Η απάντηση ή αξιολόγηση είναι κρυπτογραφημένη και δεν μπορεί να διαβαστεί από εσάς.","Feedback ist verschlüsselt und kann von Ihnen nicht gelesen werden.","Zpětná vazba je šifrována, takže si jí nemůžete přečíst.","El comentari està xifrat i no pot ser llegit per vostè.","Отзивът е криптиран и не може да бъде прочетен от вас.","Spätná väzba je zašifrovaná a vy ju nemôžete prečítať.","Povratna informacija je kodirana i ne možete ju pročitati.","Отзыв зашифрован и не может быть прочитан вами.","Повратне информације су заштићене и Ви их не можете прочитати.","Povratne informacije su zaštićene i Vi ih ne možete pročitati.","Feedback-ul este criptat şi nu poate fi citit de tine.","Відгук зашифрований, і не може бути прочитаний вами.","Geribildirim şifrelelidir ve sizin tarafından okunamaz.","反饋是加密的，無法為您讀取。","反馈是加密的，无法为您读取。"
"encrypted_goods_data","Encrypted Goods Data","Dados criptografados de mercadorias","Dados de Mercadorias Cifradas","Zaszyfrowane dane towarów","Gecodeerde goederen gegevens","Šifruotų prekių duomenys","暗号化された商品データ","Dati articoli criptati","Data dienkripsi barang","Kodirani podaci roba",,"Datos das mercadorías cifradas","Données chiffrées des marchandises","Salatut tavaroiden tiedot","Datos de Mercancías Cifradas",,"verschlüsselte Artikeldaten","Zašifrovaná data o zboží","Dades dels Béns xifrades","Шифровани данни за стоки","Zašifrované dáta tovaru","Kodirani podaci roba","Зашифрованные данные товара","Шифровани Подаци Робе","Šifrovani Podaci Robe","Date Bunuri Criptate","Зашифровані дані товару",,"加密商品數據","加密商品数据"
"encrypted_goods_data_no_permission","Goods data is encrypted and cannot be read by you.","Dados dos bens estão criptografados e não podem ser lidos por você.","Os dados da mercadoria são difrados e não podem ser lidos por você.","Dane towarów są szyfrowane i nie mogą być odczytane.","De gegevens van de artikelen is gecodeerd en kan niet door u worden gelezen.","Prekių duomenys yra užkoduoti ir negali būti Jūsų perskaityti.","商品データは暗号化されたため、あなたには読み取ることができません。","Le informazioni della merce è crittografata e non possono essere letti da te.","Data barang dienkripsi dan tidak dapat dibaca oleh Anda.","Podaci o robi su kodirani i ne možete ih pročitati.","माल डेटा एन्क्रिप्टेड है और आपके द्वारा पढ़ा नहीं जा सकता।","Os datos das mercadorías están encriptados e non se poden ler.","Vous ne pouez pas lire les informations concernant ces biens parce qu'elles sont chiffrées.","Tavaroiden tiedot on salattu etkä pysty lukemaan niitä.","Los datos de la mercancía están cifrados, usted no puede leerlos.","Τα στοιχεία του εμπορεύματος είναι κρυπτογραφημένα και δεν μπορούν να διαβαστούν από εσάς.","Die Waren Daten sind verschlüsselt und können von Ihnen nicht gelesen werden.","Údaje o zboží jsou zašifrované a vy je nemůžete přečíst.","Les dades dels Béns estant xifrats, vostè no els pot llegir.","Данните за стоките са криптирани и не могат да бъдат прочетени от вас.","Údaje tovaru sú zašifrované a vy ich nemôžete prečítať.","Podaci o robi su kodirani i ne možete ih pročitati.","Данные о товаре зашифрованы и не могут быть прочитаны вами.","Подаци производа су застићени и Ви их не можете прочитати.","Podaci proizvoda su zastićeni i Vi ih ne možete pročitati.","Datele bunurilor sunt criptate şi nu pot fi citite de către tine.","Інформація про товар зашифрована, і не може бути прочитана вами.","Ürün bilgileri şifrelelidir ve sizden okunamaz.","商品數據時加密的，無法為您讀取。","商品数据是加密的，无法为您读取。"
"encrypted_goods_nonce","Encrypted Goods Nonce","Nonce das mercadorias criptografadas","Valor de Segurança de Mercadorias Cifradas","Szyfrowane towary Nonce","Versleutelde goederen Nonce","Šifruotų prekių nėra","暗号化された商品のナンス","Nonce degli articoli criptati","Barang dienkripsi","Kodirana roba",,"Valor da seguridade das mercadorías cifradas","Nonce de signature chiffré des marchandises","Salattujen tavaroiden nonce","Valor de Seguridad de Mercancías Cifradas",,"Nonce des verschlüsselten Artikels",,"Valor de seguretat dels Béns xifrats","Шифровани стоки в случая","Šifrovaný produkt","Kodirana roba","Товар зашифрован","Шифрована Роба","Šifrovana Roba","Bunuri Nonce Criptate","Товар Зашифрований",,"加密商品驗證碼","加密商品验证码"
"encrypted_message","Encrypted Message","Mensagem Criptografada","Mensagem Cifrada","Szyfrowana wiadomość","Ge-encrypteerde Berichten","Užšifruota žinutė","暗号化されたメッセージ","Messaggio cifrato","Pesan Terenkripsi","Kodirana poruka","एन्क्रिप्टेड संदेश","Mensaxe cifrada","Message chiffré","Salattu viesti","Mensaje Cifrado","Κρυπτογραφημένο μήνυμα","Verschlüsselte Nachricht","Zašifrovaná zpráva","Missatge Xifrat","Шифровано съобщение","Zašifrovaná správa","Kodirana poruka","Зашифрованное Сообщение","Кодирана порука","Kodirana poruka","Mesaj criptat","Зашифроване повідомлення","Şifrelenmiş ileti","加密信息","加密信息"
"encrypted_message_no_permission","Message is encrypted and cannot be read by you.","A mensagem está criptografada e não pode ser lida por você.","A mensagem está cifrada e nom se pode ler.","Wiadomość jest szyfrowana i nie może być odczytana.","Bericht is versleuteld en kan niet door u worden gelezen.","Pranešimas yra šifruotas ir jūs negalite jo perskaityti.","メッセージは暗号化されたたため、あなたには読み取ることができません。","Il messaggio è criptato e non è possibile leggerlo.","Pesan dienkripsi dan tidak dapat dibaca oleh Anda.","Poruka je kodirana i ne možete ju pročitati.","संदेश एन्क्रिप्टेड है और आपके द्वारा पढ़ा नहीं जा सकता।","A mensaxe está cifrada e non se pode ler.","Vous ne pouvez pas lire ce message parce qu'il est chiffré.","Viesti on salattu etkä pysty lukemaan sitä.","El mensaje está cifrado y no se puede leer.","Το μήνυμα είναι κρυπτογραφημένο και δεν μπορεί να διαβαστεί από εσάς.","Die Nachricht ist verschlüsselt und kann nicht von Ihnen gelesen werden.","Zpráva je zakódovaná, proto ji nemůžete přečíst.","Missatge està xifrat i vostè no el pot llegir.","Съобщението е криптирано и не може да бъде прочетено от вас.","Správa je šifrovaná a vy ju nemôžete prečítať.","Poruka je kodirana i ne možete ju pročitati.","Сообщение зашифровано и не может быть прочитано вами.","Порука је заштићена и Ви немате дозволу да је прочитате.","Poruka je zaštićena i Vi nemate dozvolu da je pročitate.","Mesajul este criptat şi nu poate fi citit de către tine.","Повідомлення зашифровано і не може бути прочитано вами.","İleti şifrelenmiş ve senin tarafından okunamaz.","信息是加密的，無法為您讀取。","消息是加密的，无法为您读取。"
"encrypted_note","Encrypted Note","Nota criptografada","Nota Cifrada","Zaszyfrowana notatka","Versleutelde Bericht","Šifruota pastaba","暗号化されたメモ","Nota criptata","Nota dienkripsi","Kodirana bilješka",,"Nota cifrada","Note chiffrée","Salattu viesti","Nota Cifrada","Κρυπτογραφημένh Σημείωση","Verschlüsselter Hinweis","Zašifrovaná poznámka","Nota xifrada","Шифрована бележка","Šifrovaná poznámka","Kodirana bilješka","Шифрованное сообщение","Заштићена Порука","Zaštićena Poruka","Notiță criptată","Шифроване повідомлення","Şifreli Not","加密的備註","加密的备注"
"encrypted_note_nonce","Encrypted Note Nonce","Nonce da nota criptografada","Valor de Segurança da Nota Cifrada","Szyfrowana notatka Nonce","Gecodeerde Opmerking Nonce","Šifruotų pastabų nėra","暗号化されたメモのナンス","Nonce della nota criptata","Kesempatan ini dienkripsi catatan","Kodirana bilješka",,"Valor de seguridade da nota cifrada","Nonce de signature chiffré du billet","Salatun viestin nonce","Valor de Seguridad de la Nota Cifrada",,"Nonce des verschlüsselten Hinweises","Nonce šifrované poznámky","Valor de Seguretat de la Nota Xifrada","Шифрована бележка за случая","Zašifrované poznámky","Kodirana bilješka","Примечание Зашифровано","Шифрована Порука","Šifrovana Poruka","Notiță Nonce Criptată","Примітка Зашифрована",,"加密備註驗證碼","加密的注释验证码"
"encrypted_note_no_permission","Note is encrypted and cannot be read by you.","A nota é criptografada e não pode ser lida por você.","A nota está cifrada e não pode ser lida por você.","Notatka jest szyfrowana i nie może być odczytana.","Het bericht is gecodeerd en kan door u niet worden gelezen.","Pastaba yra užkoduota ir negali būti Jūsų perskaityta.","メモは暗号化されたので、あなたには読み取ることができません。","Il testo è crittografato e non può essere letto da te.","Catatan dienkripsi dan tidak dapat dibaca oleh Anda.","Bilješka je kodirana i ne možete ju pročitati.",,"A nota está cifrada e non se pode ler por ti.","Vous ne pouvez pas lire cette note parce qu'elle est chiffrée.","Viesti on salattu etkä pysty lukemaan sitä.","La nota está cifrada, usted no puede leerla.","Η σημείωση είναι κρυπτογραφημένη και δεν μπορεί να διαβαστεί από εσάς.","Der Hinweis ist verschlüsselt und kann von Ihnen nicht gelesen werden.","Poznámka je šifrována, takže si jí nemůžete přečíst.","Nota està xifrada i no pot ser llegida per vostè.","Съобщението е криптирано и не може да бъде прочетено от вас.","Poznámka je zašifrovaná a vy ju nemôžete prečítať.","Bilješka je kodirana i ne možete ju pročitati.","Примечание зашифровано и не может быть прочитано вами.","Порука је заштићена и Ви је не можете прочитати.","Poruka je zaštićena i Vi je ne možete pročitati.","Notița este criptată şi nu poate fi citită de tine.","Примітка зашифрована, і не може бути прочитана вами.","Not şifrelelidir ve sizin tarafından okunamaz.","備註是加密的，無法為您讀取。","备注是加密的，无法为您读取。"
"encrypt_message","Encrypt Message","Criptografar Mensagem","Cifrar Mensagem","Szyfruj wiadomość","Bericht versleutelen","Šifruoti žinutę","メッセージを暗号化","Criptare messaggio","Mengenkripsi Pesan","Kodiraj poruku","संदेश एन्क्रिप्ट करें","Cifrar Mensaxe","Chiffrer le message","Salaa viesti","Cifrar Mensaje","Κρυπτογράφηση μηνύματος","Nachricht verschlüsseln","Zašifrovat zprávu","Xifrar el Missatge","Шифровай съобщението","Zašifrovať správu","Kodiraj poruku","Шифровать сообщение","Шифрујте Поруку","Šifrujte Poruku","Criptează Mesajul","Шифрувати повідомлення","İletiyi şifreleme","加密信息","加密信息"
"enter_a_description","Enter a description","Digite uma descrição","Introduzir Descrição","Wprowadź opis","Voer een beschrijving in","Įveskite aprašymą","説明を入力","Immetti una descrizione","Masukkan deskripsi","Unesite opis","कोई वर्णन दर्ज करें","Introducir descripción","Indiquez une description","Kirjoita kuvaus","Introducir Descripción","Εισαγάγετε μια περιγραφή","Geben Sie eine Beschreibung ein.","Vložit popis","Introduïu una Descripció","Въведете описание","Zadajte popis","Unesite opis","Введите описание","Унесите опис","Unesite opis","Introduceţi o descriere","Введіть опис"," Açıklama yazın","輸入描述","输入描述"
"error","Error","Erro","Erro","Błąd","Fout","Klaida","エラー","Errore","Kesalahan","Greška","त्रुटि","Erro","Erreur","Virhe",,"Σφάλμα","Fehler","Chyba",,"Грешка","Chyba","Greška","Ошибка","Грешка","Greška","Eroare","Помилка","Hata","錯誤","错误"
"error_account_id","Invalid account ID.","ID de conta inválido.","ID de conta inválida.","Błedne ID konta.","Ongeldig account-ID.","Netinkamas sąskaitos ID.","無効なアカウントIDです。","Account ID non valido.","ID account tidak valid.","Pogrešan račun ID.","अमान्य खाता ID।","O ID da conta é inválido.","ID de compte invalide.","Virheellinen tilinumero.","ID de cuenta inválido.","Άκυρος αριθμός λογαριασμού.","Ungültige Konto-ID.","Neplatné ID účtu.","ID del Compte no és vàlid.","Невалиден ID на сметка.","Neplatné ID účtu.","Pogrešan račun ID.","Неверный ID аккаунта.","Погрешан ID налога.","Pogrešan ID naloga.","ID de cont nevalid.","Неприпустимий ідентифікатор аккаунта.","Geçersiz hesap ID.","無效的帳戶 ID。","无效的帐户 ID 。"
"error_account_id_not_specified","Account ID not specified.","ID de conta não especificado.","ID de conta não especificado.","Id konta niepodane.","Account-ID niet opgegeven.","Sąskaitos ID nenurodytas.","アカウントID が指定されていません。","Account ID non specificato.","ID account tidak ditentukan.","Račun ID nije određen.","खाता ID निर्दिष्ट नहीं किया गया।","ID da conta non especificado.","ID de compte non spécifié.","Tilinumeroa ei annettu.","ID de cuenta no especificado.","Δεν ορίστηκε ID λογαριασμού.","Konto-ID nicht angegeben.","Nebylo určeno ID účtu.","ID del Compte no especificat.","Няма зададен ID на сметката.","ID účtu nebolo zadané.","Račun ID nije određen.","Не указан идентификатор учетной записи.","ID Налога није одређен.","ID Naloga nije određen.","ID de cont nespecificat.","Не вказаний ідентифікатор акаунта.","Hesap ID belirlenemedi.","未指定的帳戶 ID。","未指定的帐户 ID。"
"error_account_id_required","Account ID is a required field.","ID de conta é um campo obrigatório.","O ID de conta é um campo obrigatório.","Pole ID konta jest wymagane.","Account-ID is een verplicht veld.","Sąskaitos ID yra būtinas laukas.","アカウントID は必須入力フィールドです。","L'Account ID è richiesto.","ID rekening diperlukan.","Račun ID je obvezno polje.","खाता ID एक आवश्यक फ़ील्ड है।","O ID da conta é un campo obrigatorio.","Le champ ID de compte est obligatoire.","Tilinumero on pakollinen kenttä.","El ID de Cuenta es un campo obligatorio.","Ο αριθμός λογαριασμού είναι ένα απαιτούμενο πεδίο.","Konto-ID ist ein Pflichtfeld.","ID účtu je povinné pole.","El ID del Compte és un camp obligatori.","ID на сметката е задължително поле.","ID účtu je povinné pole.","Račun ID je obvezno polje.","Идентификатор (ID) аккаунта является обязательным полем.","ID налога је обавезно поље.","ID naloga je obavezno polje.","ID-ul contului este un câmp obligatoriu.","Ідентифікатор (ID) аккаунта є обов'язковим полем.","Hesap ID gerekli.","必須填寫帳戶ID。","必须填写帐户 ID 。"
"error_account_required_login","Please enter an account to login...","Favor digitar uma conta para entrar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"error_account_rs","Generated Reed Solomon address different from the one in the blockchain!","Endereço Reed Solomon gerado é diferente daquele contido na corrente de blocos!","O endereço Reed Solomon gerado é diferente de aquele contido na corrente de blocos!","Wygenerowany Reed Solomon adres jest inny niż na blockchain!","Gegenereerde Reed Solomon adres wijkt af van de ene in de blockchain!","Sukurtas Reed Solomon adresas skiriasi nuo esančių blokuose!","生成された、ブロックチェーンの中のものとは異なるリード ・ ソロモンアドレス","Indirizzo Reed Solomon generato diverso da quello nel blockchain!","Alamat Reed Solomon dihasilkan berbeda dari yang di blockchain!","Generirana Reed Solomon adresa različita od one u blockchainu!",,"¡A dirección Reed Solomon xerada é distinta á da cadea de bloques!","L'adresse Reed Solomon générée est différente de celle dans la blockchain !","Luotu Reed Solomon tilinumero eroaa lohkoketjuun tallennetusta!","¡La dirección Reed Solomon generada es distinta a la de la cadena de bloques!","Η παραγόμενη Reed Solomon διεύθυνση είναι διαφορετική από εκείνη του blockchain!","Generierte RS-Konto-ID ist anders als die in der Blockchain!","Vygenerovaná Reed Solomon adresa je odlišná od té v blockchainu!","La adreça generada Reed Solomon es diferent a la que hi ha a la Cadena de Blocs!","Генерираният Рийд Соломон адрес е различен от този в блокверигата!","Generovaná Reed Solomon adresa je odlišná od tej v blockchaine!","Generirana Reed Solomon adresa različita od one u blockchainu!","Сгенерированный адресс Рида Соломона отличается от адреса в блокчейне!","Генерисана Реед Соломон адреса различита од оне у блоцкцхаин-у!","Generisana Reed Solomon adresa različita od one u blockchain-u!","Adresa Reed Solomon generată, este diferită de cea de pe blockchain!","Згенерований адресс Рида Соломона відрізняється від адреси у блокчейне!",,"生成不同與blockchain中的里德所羅門地址！","生成不同与blockchain中的里德所罗门地址！"
